Component,Origin,License,Copyright
@discoveryjs/json-ext,NPM,MIT,Copyright (c) Roman Dvornov
@jridgewell/gen-mapping,NPM,MIT,Copyright (c) Justin Ridgewell
@jridgewell/resolve-uri,NPM,MIT,Copyright (c) Justin Ridgewell
@jridgewell/set-array,NPM,MIT,Copyright (c) Justin Ridgewell
@jridgewell/source-map,NPM,MIT,Copyright (c) Justin Ridgewell
@jridgewell/sourcemap-codec,NPM,MIT,Copyright (c) Rich Harris
@jridgewell/trace-mapping,NPM,MIT,Copyright (c) Justin Ridgewell
@nodelib/fs.scandir,NPM,MIT,Copyright (c) The @nodelib/fs.scandir Authors
@nodelib/fs.stat,NPM,MIT,Copyright (c) The @nodelib/fs.stat Authors
@nodelib/fs.walk,NPM,MIT,Copyright (c) The @nodelib/fs.walk Authors
@sindresorhus/merge-streams,NPM,MIT,Copyright (c) Sindre Sorhus
@swc/core,NPM,Apache-2.0,Copyright (c) 강동윤 <kdy1997.dev@gmail.com>
@swc/core-darwin-arm64,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-darwin-x64,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-linux-arm-gnueabihf,NPM,Apache-2.0,Copyright (c) 강동윤
@swc/core-linux-arm64-gnu,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-linux-arm64-musl,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-linux-x64-gnu,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-linux-x64-musl,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-win32-arm64-msvc,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-win32-ia32-msvc,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/core-win32-x64-msvc,NPM,Apache-2.0 AND MIT,Copyright (c) 강동윤
@swc/counter,NPM,Apache-2.0,Copyright (c) 강동윤
@swc/helpers,NPM,Apache-2.0,Copyright (c) 강동윤
@swc/types,NPM,Apache-2.0,Copyright (c) 강동윤
@types/eslint,NPM,MIT,Copyright (c) The @types/eslint Authors
@types/eslint-scope,NPM,MIT,Copyright (c) The @types/eslint-scope Authors
@types/estree,NPM,MIT,Copyright (c) The @types/estree Authors
@types/json-schema,NPM,MIT,Copyright (c) The @types/json-schema Authors
@types/node,NPM,MIT,Copyright (c) The @types/node Authors
